interval
P,8
P,8
P,8
M,9
P,8
P,8
P,8
M,9
P,8
P,1
P,8
P,8
P,8
P,8
M,9
P,8
P,1
P,8
P,8
M,9
P,1
P,1
m,3
P,1
P,1
A,1
P,1
m,3
M,3
P,1
m,3
P,4
P,5
P,8
P,8
A,8
P,8
P,1
m,3
M,3
P,1
m,3
P,4
P,5
P,8
P,8
A,8
P,8
m,1,0
M,1,0
P,8
P,1
m,3
M,3
P,8
M,9
P,1
m,6
P,8
P,8
A,8
P,8
P,1
m,3
M,3
P,1
m,3
P,4
P,5
P,1
P,1
A,1
P,1
m,3
M,3
P,1
P,1
m,3
P,5
P,8
P,8
A,8
P,8
P,1
m,3
M,3
P,1
P,1
m,3
P,1
P,5
P,8
P,5
P,1
M,-,2
P,8
P,1
P,8
P,8
P,1
P,8
M,9
m,1,0
M,1,0
P,8
P,1
P,8
P,8
A,8
P,8
P,1
P,1
A,1
P,4
P,1
m,3
M,3
P,8
P,8
m,7
M,6
P,8
A,8
P,8
M,1,0
P,1,5
P,1,5
m,1,4
m,1,0
P,8
P,8
A,8
P,8
P,1
m,3
M,3
P,8
P,8
m,1,0
P,8
P,8
P,8
P,5
P,1,2
P,1,5
P,8
m,1,0
P,8
P,8
P,8
P,8
P,1,2
P,1,5
P,8
m,1,0
P,8
P,8
P,8
P,5
P,1,2
P,1,5
P,8
m,1,0
P,8
P,8
P,8
P,5
P,1,2
P,1,5
P,8
m,1,0
P,8
P,8
P,8
m,-,2
P,5
P,1,5
P,8
m,1,0
P,8
P,8
m,7
P,5
m,7
d,8
P,8
x
P,8
P,8
M,9
P,1,5
R,e,s,t
P,1,2
P,8
m,7
P,5
m,7
d,8
P,8
P,5
M,2
M,2
P,5
P,8
m,7
P,5
P,8
P,5
P,1
x
P,5
d,5
P,8
P,5
m,7
d,8
P,8
m,7
P,5
P,8
x
P,8
P,8
M,9
P,1,5
P,1,2
m,1,4
d,1,5
P,1,5
m,1,4
P,1,2
x
P,8
m,7
P,5
m,7
P,8
x
m,7
P,5
P,1
P,5
m,7
M,7
P,8
P,5
P,1
x
P,5
d,5
P,1
P,1
m,3
m,3
P,5
d,5
P,1
P,1
P,1
m,3
P,5
d,5
P,8
P,8
P,5
P,1
P,5
d,5
P,8
P,8
x
P,5
P,8
m,7
P,8
P,8
P,8
P,8
d,8
d,8
m,7
m,7
P,1
P,1
P,5
P,8
P,5
P,8
P,5
P,1
P,1
P,5
P,8
P,5
P,8
P,5
P,1
P,1
P,5
P,8
P,5
P,8
P,5
P,1
P,1
P,5
P,8
P,5
P,8
P,5
P,1
P,1
P,5
P,8
P,5
P,8
P,5
P,1
P,1
P,5
P,8
P,5
P,8
P,5
M,9
P,5
P,1
P,1
P,5
P,8
P,5
P,8
P,5
P,1
P,1
P,5
P,8
P,5
P,8
P,5
P,1
P,8
m,7
P,5
m,7
d,8
P,8
P,5
P,8
P,5
P,8
P,8
M,9
P,1,5
R,e,s,t
P,1,2
P,8
m,7
P,5
m,7
P,8
m,7
P,5
P,1
P,1
P,5
P,8
P,5
P,8
P,5
P,1
P,5
P,1
P,5
P,5
d,5
P,1
P,1
m,3
P,5
d,5
P,1
P,1
m,3
m,3
P,5
d,5
m,3
P,8
P,8
P,5
P,1
P,5
d,5
P,8
x
m,7
P,8
m,1,0
m,1,0
P,8
P,8
P,8
P,8
P,8
d,8
d,8
m,7
d,7
P,1
P,1
P,5
P,8
P,5
P,8
P,5
P,8
P,5
P,1
P,1
P,5
P,8
P,5
P,8
P,5
P,8
P,5
P,1
P,1
P,5
P,8
P,5
P,8
P,5
P,8
P,5
P,1
P,1
P,5
P,8
P,5
P,8
P,5
P,8
P,5
P,1
P,1
P,5
P,8
P,5
P,8
P,5
P,8
P,5
P,1
P,1
P,5
P,8
P,5
P,8
P,5
P,8
P,5
P,1
P,1
P,5
P,8
P,5
P,8
P,5
P,8
P,5
P,1
P,1
P,5
P,8
P,5
P,1
P,1
A,1
P,1
P,1
P,5
P,8
P,5
P,8
P,5
P,1
P,1
P,5
P,8
P,5
P,8
P,4
P,5
P,1
P,1
P,5
P,8
P,5
P,8
P,4
P,5
P,1
P,1
P,5
P,8
P,5
P,8
P,5
P,8
P,5
P,1
P,1
P,5
P,8
P,5
P,8
P,5
P,1
P,1
P,5
P,8
P,5
P,8
P,5
P,8
P,5
P,1
P,1
P,5
P,8
P,5
P,8
P,5
P,1
P,1
P,5
P,8
P,5
P,1
A,1
